The mom sees.	The sees mom.
The girl sees.	The sees girl.
The person sees.	The sees person.
The cat sees.	The sees cat.
The guy sees.	The sees guy.
The animal sees.	The sees animal.
The horse sees.	The sees horse.
The bird sees.	The sees bird.
The duck sees.	The sees duck.
The kitty sees.	The sees kitty.
The dad sees.	The sees dad.
The cow sees.	The sees cow.
The elephant sees.	The sees elephant.
The bunny sees.	The sees bunny.
The chicken sees.	The sees chicken.
The dinosaur sees.	The sees dinosaur.
The mouse sees.	The sees mouse.
The lady sees.	The sees lady.
The monkey sees.	The sees monkey.
The caterpillar sees.	The sees caterpillar.
The puppy sees.	The sees puppy.
The rabbit sees.	The sees rabbit.
The lion sees.	The sees lion.
The bee sees.	The sees bee.
The snake sees.	The sees snake.
The sheep sees.	The sees sheep.
The tiger sees.	The sees tiger.
The turtle sees.	The sees turtle.
The monster sees.	The sees monster.
The owl sees.	The sees owl.
The spider sees.	The sees spider.
The zebra sees.	The sees zebra.
The kangaroo sees.	The sees kangaroo.
The giraffe sees.	The sees giraffe.
The dragon sees.	The sees dragon.
The turkey sees.	The sees turkey.
The donkey sees.	The sees donkey.
The uncle sees.	The sees uncle.
The woman sees.	The sees woman.
The goose sees.	The sees goose.
The mom looks.	The looks mom.
The girl looks.	The looks girl.
The person looks.	The looks person.
The cat looks.	The looks cat.
The guy looks.	The looks guy.
The animal looks.	The looks animal.
The horse looks.	The looks horse.
The bird looks.	The looks bird.
The duck looks.	The looks duck.
The kitty looks.	The looks kitty.
The dad looks.	The looks dad.
The cow looks.	The looks cow.
The elephant looks.	The looks elephant.
The bunny looks.	The looks bunny.
The chicken looks.	The looks chicken.
The dinosaur looks.	The looks dinosaur.
The mouse looks.	The looks mouse.
The lady looks.	The looks lady.
The monkey looks.	The looks monkey.
The caterpillar looks.	The looks caterpillar.
The puppy looks.	The looks puppy.
The rabbit looks.	The looks rabbit.
The lion looks.	The looks lion.
The bee looks.	The looks bee.
The snake looks.	The looks snake.
The sheep looks.	The looks sheep.
The tiger looks.	The looks tiger.
The turtle looks.	The looks turtle.
The monster looks.	The looks monster.
The owl looks.	The looks owl.
The spider looks.	The looks spider.
The zebra looks.	The looks zebra.
The kangaroo looks.	The looks kangaroo.
The giraffe looks.	The looks giraffe.
The dragon looks.	The looks dragon.
The turkey looks.	The looks turkey.
The donkey looks.	The looks donkey.
The uncle looks.	The looks uncle.
The woman looks.	The looks woman.
The goose looks.	The looks goose.
The mom knows.	The knows mom.
The girl knows.	The knows girl.
The person knows.	The knows person.
The cat knows.	The knows cat.
The guy knows.	The knows guy.
The animal knows.	The knows animal.
The horse knows.	The knows horse.
The bird knows.	The knows bird.
The duck knows.	The knows duck.
The kitty knows.	The knows kitty.
The dad knows.	The knows dad.
The cow knows.	The knows cow.
The elephant knows.	The knows elephant.
The bunny knows.	The knows bunny.
The chicken knows.	The knows chicken.
The dinosaur knows.	The knows dinosaur.
The mouse knows.	The knows mouse.
The lady knows.	The knows lady.
The monkey knows.	The knows monkey.
The caterpillar knows.	The knows caterpillar.
The puppy knows.	The knows puppy.
The rabbit knows.	The knows rabbit.
The lion knows.	The knows lion.
The bee knows.	The knows bee.
The snake knows.	The knows snake.
The sheep knows.	The knows sheep.
The tiger knows.	The knows tiger.
The turtle knows.	The knows turtle.
The monster knows.	The knows monster.
The owl knows.	The knows owl.
The spider knows.	The knows spider.
The zebra knows.	The knows zebra.
The kangaroo knows.	The knows kangaroo.
The giraffe knows.	The knows giraffe.
The dragon knows.	The knows dragon.
The turkey knows.	The knows turkey.
The donkey knows.	The knows donkey.
The uncle knows.	The knows uncle.
The woman knows.	The knows woman.
The goose knows.	The knows goose.
The mom says.	The says mom.
The girl says.	The says girl.
The person says.	The says person.
The cat says.	The says cat.
The guy says.	The says guy.
The animal says.	The says animal.
The horse says.	The says horse.
The bird says.	The says bird.
The duck says.	The says duck.
The kitty says.	The says kitty.
The dad says.	The says dad.
The cow says.	The says cow.
The elephant says.	The says elephant.
The bunny says.	The says bunny.
The chicken says.	The says chicken.
The dinosaur says.	The says dinosaur.
The mouse says.	The says mouse.
The lady says.	The says lady.
The monkey says.	The says monkey.
The caterpillar says.	The says caterpillar.
The puppy says.	The says puppy.
The rabbit says.	The says rabbit.
The lion says.	The says lion.
The bee says.	The says bee.
The snake says.	The says snake.
The sheep says.	The says sheep.
The tiger says.	The says tiger.
The turtle says.	The says turtle.
The monster says.	The says monster.
The owl says.	The says owl.
The spider says.	The says spider.
The zebra says.	The says zebra.
The kangaroo says.	The says kangaroo.
The giraffe says.	The says giraffe.
The dragon says.	The says dragon.
The turkey says.	The says turkey.
The donkey says.	The says donkey.
The uncle says.	The says uncle.
The woman says.	The says woman.
The goose says.	The says goose.
The mom comes.	The comes mom.
The girl comes.	The comes girl.
The person comes.	The comes person.
The cat comes.	The comes cat.
The guy comes.	The comes guy.
The animal comes.	The comes animal.
The horse comes.	The comes horse.
The bird comes.	The comes bird.
The duck comes.	The comes duck.
The kitty comes.	The comes kitty.
The dad comes.	The comes dad.
The cow comes.	The comes cow.
The elephant comes.	The comes elephant.
The bunny comes.	The comes bunny.
The chicken comes.	The comes chicken.
The dinosaur comes.	The comes dinosaur.
The mouse comes.	The comes mouse.
The lady comes.	The comes lady.
The monkey comes.	The comes monkey.
The caterpillar comes.	The comes caterpillar.
The puppy comes.	The comes puppy.
The rabbit comes.	The comes rabbit.
The lion comes.	The comes lion.
The bee comes.	The comes bee.
The snake comes.	The comes snake.
The sheep comes.	The comes sheep.
The tiger comes.	The comes tiger.
The turtle comes.	The comes turtle.
The monster comes.	The comes monster.
The owl comes.	The comes owl.
The spider comes.	The comes spider.
The zebra comes.	The comes zebra.
The kangaroo comes.	The comes kangaroo.
The giraffe comes.	The comes giraffe.
The dragon comes.	The comes dragon.
The turkey comes.	The comes turkey.
The donkey comes.	The comes donkey.
The uncle comes.	The comes uncle.
The woman comes.	The comes woman.
The goose comes.	The comes goose.
The mom thinks.	The thinks mom.
The girl thinks.	The thinks girl.
The person thinks.	The thinks person.
The cat thinks.	The thinks cat.
The guy thinks.	The thinks guy.
The animal thinks.	The thinks animal.
The horse thinks.	The thinks horse.
The bird thinks.	The thinks bird.
The duck thinks.	The thinks duck.
The kitty thinks.	The thinks kitty.
The dad thinks.	The thinks dad.
The cow thinks.	The thinks cow.
The elephant thinks.	The thinks elephant.
The bunny thinks.	The thinks bunny.
The chicken thinks.	The thinks chicken.
The dinosaur thinks.	The thinks dinosaur.
The mouse thinks.	The thinks mouse.
The lady thinks.	The thinks lady.
The monkey thinks.	The thinks monkey.
The caterpillar thinks.	The thinks caterpillar.
The puppy thinks.	The thinks puppy.
The rabbit thinks.	The thinks rabbit.
The lion thinks.	The thinks lion.
The bee thinks.	The thinks bee.
The snake thinks.	The thinks snake.
The sheep thinks.	The thinks sheep.
The tiger thinks.	The thinks tiger.
The turtle thinks.	The thinks turtle.
The monster thinks.	The thinks monster.
The owl thinks.	The thinks owl.
The spider thinks.	The thinks spider.
The zebra thinks.	The thinks zebra.
The kangaroo thinks.	The thinks kangaroo.
The giraffe thinks.	The thinks giraffe.
The dragon thinks.	The thinks dragon.
The turkey thinks.	The thinks turkey.
The donkey thinks.	The thinks donkey.
The uncle thinks.	The thinks uncle.
The woman thinks.	The thinks woman.
The goose thinks.	The thinks goose.
The mom eats.	The eats mom.
The girl eats.	The eats girl.
The person eats.	The eats person.
The cat eats.	The eats cat.
The guy eats.	The eats guy.
The animal eats.	The eats animal.
The horse eats.	The eats horse.
The bird eats.	The eats bird.
The duck eats.	The eats duck.
The kitty eats.	The eats kitty.
The dad eats.	The eats dad.
The cow eats.	The eats cow.
The elephant eats.	The eats elephant.
The bunny eats.	The eats bunny.
The chicken eats.	The eats chicken.
The dinosaur eats.	The eats dinosaur.
The mouse eats.	The eats mouse.
The lady eats.	The eats lady.
The monkey eats.	The eats monkey.
The caterpillar eats.	The eats caterpillar.
The puppy eats.	The eats puppy.
The rabbit eats.	The eats rabbit.
The lion eats.	The eats lion.
The bee eats.	The eats bee.
The snake eats.	The eats snake.
The sheep eats.	The eats sheep.
The tiger eats.	The eats tiger.
The turtle eats.	The eats turtle.
The monster eats.	The eats monster.
The owl eats.	The eats owl.
The spider eats.	The eats spider.
The zebra eats.	The eats zebra.
The kangaroo eats.	The eats kangaroo.
The giraffe eats.	The eats giraffe.
The dragon eats.	The eats dragon.
The turkey eats.	The eats turkey.
The donkey eats.	The eats donkey.
The uncle eats.	The eats uncle.
The woman eats.	The eats woman.
The goose eats.	The eats goose.
The mom tells.	The tells mom.
The girl tells.	The tells girl.
The person tells.	The tells person.
The cat tells.	The tells cat.
The guy tells.	The tells guy.
The animal tells.	The tells animal.
The horse tells.	The tells horse.
The bird tells.	The tells bird.
The duck tells.	The tells duck.
The kitty tells.	The tells kitty.
The dad tells.	The tells dad.
The cow tells.	The tells cow.
The elephant tells.	The tells elephant.
The bunny tells.	The tells bunny.
The chicken tells.	The tells chicken.
The dinosaur tells.	The tells dinosaur.
The mouse tells.	The tells mouse.
The lady tells.	The tells lady.
The monkey tells.	The tells monkey.
The caterpillar tells.	The tells caterpillar.
The puppy tells.	The tells puppy.
The rabbit tells.	The tells rabbit.
The lion tells.	The tells lion.
The bee tells.	The tells bee.
The snake tells.	The tells snake.
The sheep tells.	The tells sheep.
The tiger tells.	The tells tiger.
The turtle tells.	The tells turtle.
The monster tells.	The tells monster.
The owl tells.	The tells owl.
The spider tells.	The tells spider.
The zebra tells.	The tells zebra.
The kangaroo tells.	The tells kangaroo.
The giraffe tells.	The tells giraffe.
The dragon tells.	The tells dragon.
The turkey tells.	The tells turkey.
The donkey tells.	The tells donkey.
The uncle tells.	The tells uncle.
The woman tells.	The tells woman.
The goose tells.	The tells goose.
The mom sits.	The sits mom.
The girl sits.	The sits girl.
The person sits.	The sits person.
The cat sits.	The sits cat.
The guy sits.	The sits guy.
The animal sits.	The sits animal.
The horse sits.	The sits horse.
The bird sits.	The sits bird.
The duck sits.	The sits duck.
The kitty sits.	The sits kitty.
The dad sits.	The sits dad.
The cow sits.	The sits cow.
The elephant sits.	The sits elephant.
The bunny sits.	The sits bunny.
The chicken sits.	The sits chicken.
The dinosaur sits.	The sits dinosaur.
The mouse sits.	The sits mouse.
The lady sits.	The sits lady.
The monkey sits.	The sits monkey.
The caterpillar sits.	The sits caterpillar.
The puppy sits.	The sits puppy.
The rabbit sits.	The sits rabbit.
The lion sits.	The sits lion.
The bee sits.	The sits bee.
The snake sits.	The sits snake.
The sheep sits.	The sits sheep.
The tiger sits.	The sits tiger.
The turtle sits.	The sits turtle.
The monster sits.	The sits monster.
The owl sits.	The sits owl.
The spider sits.	The sits spider.
The zebra sits.	The sits zebra.
The kangaroo sits.	The sits kangaroo.
The giraffe sits.	The sits giraffe.
The dragon sits.	The sits dragon.
The turkey sits.	The sits turkey.
The donkey sits.	The sits donkey.
The uncle sits.	The sits uncle.
The woman sits.	The sits woman.
The goose sits.	The sits goose.
The mom tries.	The tries mom.
The girl tries.	The tries girl.
The person tries.	The tries person.
The cat tries.	The tries cat.
The guy tries.	The tries guy.
The animal tries.	The tries animal.
The horse tries.	The tries horse.
The bird tries.	The tries bird.
The duck tries.	The tries duck.
The kitty tries.	The tries kitty.
The dad tries.	The tries dad.
The cow tries.	The tries cow.
The elephant tries.	The tries elephant.
The bunny tries.	The tries bunny.
The chicken tries.	The tries chicken.
The dinosaur tries.	The tries dinosaur.
The mouse tries.	The tries mouse.
The lady tries.	The tries lady.
The monkey tries.	The tries monkey.
The caterpillar tries.	The tries caterpillar.
The puppy tries.	The tries puppy.
The rabbit tries.	The tries rabbit.
The lion tries.	The tries lion.
The bee tries.	The tries bee.
The snake tries.	The tries snake.
The sheep tries.	The tries sheep.
The tiger tries.	The tries tiger.
The turtle tries.	The tries turtle.
The monster tries.	The tries monster.
The owl tries.	The tries owl.
The spider tries.	The tries spider.
The zebra tries.	The tries zebra.
The kangaroo tries.	The tries kangaroo.
The giraffe tries.	The tries giraffe.
The dragon tries.	The tries dragon.
The turkey tries.	The tries turkey.
The donkey tries.	The tries donkey.
The uncle tries.	The tries uncle.
The woman tries.	The tries woman.
The goose tries.	The tries goose.
The mom reads.	The reads mom.
The girl reads.	The reads girl.
The person reads.	The reads person.
The cat reads.	The reads cat.
The guy reads.	The reads guy.
The animal reads.	The reads animal.
The horse reads.	The reads horse.
The bird reads.	The reads bird.
The duck reads.	The reads duck.
The kitty reads.	The reads kitty.
The dad reads.	The reads dad.
The cow reads.	The reads cow.
The elephant reads.	The reads elephant.
The bunny reads.	The reads bunny.
The chicken reads.	The reads chicken.
The dinosaur reads.	The reads dinosaur.
The mouse reads.	The reads mouse.
The lady reads.	The reads lady.
The monkey reads.	The reads monkey.
The caterpillar reads.	The reads caterpillar.
The puppy reads.	The reads puppy.
The rabbit reads.	The reads rabbit.
The lion reads.	The reads lion.
The bee reads.	The reads bee.
The snake reads.	The reads snake.
The sheep reads.	The reads sheep.
The tiger reads.	The reads tiger.
The turtle reads.	The reads turtle.
The monster reads.	The reads monster.
The owl reads.	The reads owl.
The spider reads.	The reads spider.
The zebra reads.	The reads zebra.
The kangaroo reads.	The reads kangaroo.
The giraffe reads.	The reads giraffe.
The dragon reads.	The reads dragon.
The turkey reads.	The reads turkey.
The donkey reads.	The reads donkey.
The uncle reads.	The reads uncle.
The woman reads.	The reads woman.
The goose reads.	The reads goose.
The mom turns.	The turns mom.
The girl turns.	The turns girl.
The person turns.	The turns person.
The cat turns.	The turns cat.
The guy turns.	The turns guy.
The animal turns.	The turns animal.
The horse turns.	The turns horse.
The bird turns.	The turns bird.
The duck turns.	The turns duck.
The kitty turns.	The turns kitty.
The dad turns.	The turns dad.
The cow turns.	The turns cow.
The elephant turns.	The turns elephant.
The bunny turns.	The turns bunny.
The chicken turns.	The turns chicken.
The dinosaur turns.	The turns dinosaur.
The mouse turns.	The turns mouse.
The lady turns.	The turns lady.
The monkey turns.	The turns monkey.
The caterpillar turns.	The turns caterpillar.
The puppy turns.	The turns puppy.
The rabbit turns.	The turns rabbit.
The lion turns.	The turns lion.
The bee turns.	The turns bee.
The snake turns.	The turns snake.
The sheep turns.	The turns sheep.
The tiger turns.	The turns tiger.
The turtle turns.	The turns turtle.
The monster turns.	The turns monster.
The owl turns.	The turns owl.
The spider turns.	The turns spider.
The zebra turns.	The turns zebra.
The kangaroo turns.	The turns kangaroo.
The giraffe turns.	The turns giraffe.
The dragon turns.	The turns dragon.
The turkey turns.	The turns turkey.
The donkey turns.	The turns donkey.
The uncle turns.	The turns uncle.
The woman turns.	The turns woman.
The goose turns.	The turns goose.
The mom helps.	The helps mom.
The girl helps.	The helps girl.
The person helps.	The helps person.
The cat helps.	The helps cat.
The guy helps.	The helps guy.
The animal helps.	The helps animal.
The horse helps.	The helps horse.
The bird helps.	The helps bird.
The duck helps.	The helps duck.
The kitty helps.	The helps kitty.
The dad helps.	The helps dad.
The cow helps.	The helps cow.
The elephant helps.	The helps elephant.
The bunny helps.	The helps bunny.
The chicken helps.	The helps chicken.
The dinosaur helps.	The helps dinosaur.
The mouse helps.	The helps mouse.
The lady helps.	The helps lady.
The monkey helps.	The helps monkey.
The caterpillar helps.	The helps caterpillar.
The puppy helps.	The helps puppy.
The rabbit helps.	The helps rabbit.
The lion helps.	The helps lion.
The bee helps.	The helps bee.
The snake helps.	The helps snake.
The sheep helps.	The helps sheep.
The tiger helps.	The helps tiger.
The turtle helps.	The helps turtle.
The monster helps.	The helps monster.
The owl helps.	The helps owl.
The spider helps.	The helps spider.
The zebra helps.	The helps zebra.
The kangaroo helps.	The helps kangaroo.
The giraffe helps.	The helps giraffe.
The dragon helps.	The helps dragon.
The turkey helps.	The helps turkey.
The donkey helps.	The helps donkey.
The uncle helps.	The helps uncle.
The woman helps.	The helps woman.
The goose helps.	The helps goose.
The mom waits.	The waits mom.
The girl waits.	The waits girl.
The person waits.	The waits person.
The cat waits.	The waits cat.
The guy waits.	The waits guy.
The animal waits.	The waits animal.
The horse waits.	The waits horse.
The bird waits.	The waits bird.
The duck waits.	The waits duck.
The kitty waits.	The waits kitty.
The dad waits.	The waits dad.
The cow waits.	The waits cow.
The elephant waits.	The waits elephant.
The bunny waits.	The waits bunny.
The chicken waits.	The waits chicken.
The dinosaur waits.	The waits dinosaur.
The mouse waits.	The waits mouse.
The lady waits.	The waits lady.
The monkey waits.	The waits monkey.
The caterpillar waits.	The waits caterpillar.
The puppy waits.	The waits puppy.
The rabbit waits.	The waits rabbit.
The lion waits.	The waits lion.
The bee waits.	The waits bee.
The snake waits.	The waits snake.
The sheep waits.	The waits sheep.
The tiger waits.	The waits tiger.
The turtle waits.	The waits turtle.
The monster waits.	The waits monster.
The owl waits.	The waits owl.
The spider waits.	The waits spider.
The zebra waits.	The waits zebra.
The kangaroo waits.	The waits kangaroo.
The giraffe waits.	The waits giraffe.
The dragon waits.	The waits dragon.
The turkey waits.	The waits turkey.
The donkey waits.	The waits donkey.
The uncle waits.	The waits uncle.
The woman waits.	The waits woman.
The goose waits.	The waits goose.
The mom falls.	The falls mom.
The girl falls.	The falls girl.
The person falls.	The falls person.
The cat falls.	The falls cat.
The guy falls.	The falls guy.
The animal falls.	The falls animal.
The horse falls.	The falls horse.
The bird falls.	The falls bird.
The duck falls.	The falls duck.
The kitty falls.	The falls kitty.
The dad falls.	The falls dad.
The cow falls.	The falls cow.
The elephant falls.	The falls elephant.
The bunny falls.	The falls bunny.
The chicken falls.	The falls chicken.
The dinosaur falls.	The falls dinosaur.
The mouse falls.	The falls mouse.
The lady falls.	The falls lady.
The monkey falls.	The falls monkey.
The caterpillar falls.	The falls caterpillar.
The puppy falls.	The falls puppy.
The rabbit falls.	The falls rabbit.
The lion falls.	The falls lion.
The bee falls.	The falls bee.
The snake falls.	The falls snake.
The sheep falls.	The falls sheep.
The tiger falls.	The falls tiger.
The turtle falls.	The falls turtle.
The monster falls.	The falls monster.
The owl falls.	The falls owl.
The spider falls.	The falls spider.
The zebra falls.	The falls zebra.
The kangaroo falls.	The falls kangaroo.
The giraffe falls.	The falls giraffe.
The dragon falls.	The falls dragon.
The turkey falls.	The falls turkey.
The donkey falls.	The falls donkey.
The uncle falls.	The falls uncle.
The woman falls.	The falls woman.
The goose falls.	The falls goose.
The mom remembers.	The remembers mom.
The girl remembers.	The remembers girl.
The person remembers.	The remembers person.
The cat remembers.	The remembers cat.
The guy remembers.	The remembers guy.
The animal remembers.	The remembers animal.
The horse remembers.	The remembers horse.
The bird remembers.	The remembers bird.
The duck remembers.	The remembers duck.
The kitty remembers.	The remembers kitty.
The dad remembers.	The remembers dad.
The cow remembers.	The remembers cow.
The elephant remembers.	The remembers elephant.
The bunny remembers.	The remembers bunny.
The chicken remembers.	The remembers chicken.
The dinosaur remembers.	The remembers dinosaur.
The mouse remembers.	The remembers mouse.
The lady remembers.	The remembers lady.
The monkey remembers.	The remembers monkey.
The caterpillar remembers.	The remembers caterpillar.
The puppy remembers.	The remembers puppy.
The rabbit remembers.	The remembers rabbit.
The lion remembers.	The remembers lion.
The bee remembers.	The remembers bee.
The snake remembers.	The remembers snake.
The sheep remembers.	The remembers sheep.
The tiger remembers.	The remembers tiger.
The turtle remembers.	The remembers turtle.
The monster remembers.	The remembers monster.
The owl remembers.	The remembers owl.
The spider remembers.	The remembers spider.
The zebra remembers.	The remembers zebra.
The kangaroo remembers.	The remembers kangaroo.
The giraffe remembers.	The remembers giraffe.
The dragon remembers.	The remembers dragon.
The turkey remembers.	The remembers turkey.
The donkey remembers.	The remembers donkey.
The uncle remembers.	The remembers uncle.
The woman remembers.	The remembers woman.
The goose remembers.	The remembers goose.
The mom hears.	The hears mom.
The girl hears.	The hears girl.
The person hears.	The hears person.
The cat hears.	The hears cat.
The guy hears.	The hears guy.
The animal hears.	The hears animal.
The horse hears.	The hears horse.
The bird hears.	The hears bird.
The duck hears.	The hears duck.
The kitty hears.	The hears kitty.
The dad hears.	The hears dad.
The cow hears.	The hears cow.
The elephant hears.	The hears elephant.
The bunny hears.	The hears bunny.
The chicken hears.	The hears chicken.
The dinosaur hears.	The hears dinosaur.
The mouse hears.	The hears mouse.
The lady hears.	The hears lady.
The monkey hears.	The hears monkey.
The caterpillar hears.	The hears caterpillar.
The puppy hears.	The hears puppy.
The rabbit hears.	The hears rabbit.
The lion hears.	The hears lion.
The bee hears.	The hears bee.
The snake hears.	The hears snake.
The sheep hears.	The hears sheep.
The tiger hears.	The hears tiger.
The turtle hears.	The hears turtle.
The monster hears.	The hears monster.
The owl hears.	The hears owl.
The spider hears.	The hears spider.
The zebra hears.	The hears zebra.
The kangaroo hears.	The hears kangaroo.
The giraffe hears.	The hears giraffe.
The dragon hears.	The hears dragon.
The turkey hears.	The hears turkey.
The donkey hears.	The hears donkey.
The uncle hears.	The hears uncle.
The woman hears.	The hears woman.
The goose hears.	The hears goose.
The mom shows.	The shows mom.
The girl shows.	The shows girl.
The person shows.	The shows person.
The cat shows.	The shows cat.
The guy shows.	The shows guy.
The animal shows.	The shows animal.
The horse shows.	The shows horse.
The bird shows.	The shows bird.
The duck shows.	The shows duck.
The kitty shows.	The shows kitty.
The dad shows.	The shows dad.
The cow shows.	The shows cow.
The elephant shows.	The shows elephant.
The bunny shows.	The shows bunny.
The chicken shows.	The shows chicken.
The dinosaur shows.	The shows dinosaur.
The mouse shows.	The shows mouse.
The lady shows.	The shows lady.
The monkey shows.	The shows monkey.
The caterpillar shows.	The shows caterpillar.
The puppy shows.	The shows puppy.
The rabbit shows.	The shows rabbit.
The lion shows.	The shows lion.
The bee shows.	The shows bee.
The snake shows.	The shows snake.
The sheep shows.	The shows sheep.
The tiger shows.	The shows tiger.
The turtle shows.	The shows turtle.
The monster shows.	The shows monster.
The owl shows.	The shows owl.
The spider shows.	The shows spider.
The zebra shows.	The shows zebra.
The kangaroo shows.	The shows kangaroo.
The giraffe shows.	The shows giraffe.
The dragon shows.	The shows dragon.
The turkey shows.	The shows turkey.
The donkey shows.	The shows donkey.
The uncle shows.	The shows uncle.
The woman shows.	The shows woman.
The goose shows.	The shows goose.
The mom runs.	The runs mom.
The girl runs.	The runs girl.
The person runs.	The runs person.
The cat runs.	The runs cat.
The guy runs.	The runs guy.
The animal runs.	The runs animal.
The horse runs.	The runs horse.
The bird runs.	The runs bird.
The duck runs.	The runs duck.
The kitty runs.	The runs kitty.
The dad runs.	The runs dad.
The cow runs.	The runs cow.
The elephant runs.	The runs elephant.
The bunny runs.	The runs bunny.
The chicken runs.	The runs chicken.
The dinosaur runs.	The runs dinosaur.
The mouse runs.	The runs mouse.
The lady runs.	The runs lady.
The monkey runs.	The runs monkey.
The caterpillar runs.	The runs caterpillar.
The puppy runs.	The runs puppy.
The rabbit runs.	The runs rabbit.
The lion runs.	The runs lion.
The bee runs.	The runs bee.
The snake runs.	The runs snake.
The sheep runs.	The runs sheep.
The tiger runs.	The runs tiger.
The turtle runs.	The runs turtle.
The monster runs.	The runs monster.
The owl runs.	The runs owl.
The spider runs.	The runs spider.
The zebra runs.	The runs zebra.
The kangaroo runs.	The runs kangaroo.
The giraffe runs.	The runs giraffe.
The dragon runs.	The runs dragon.
The turkey runs.	The runs turkey.
The donkey runs.	The runs donkey.
The uncle runs.	The runs uncle.
The woman runs.	The runs woman.
The goose runs.	The runs goose.
The mom leaves.	The leaves mom.
The girl leaves.	The leaves girl.
The person leaves.	The leaves person.
The cat leaves.	The leaves cat.
The guy leaves.	The leaves guy.
The animal leaves.	The leaves animal.
The horse leaves.	The leaves horse.
The bird leaves.	The leaves bird.
The duck leaves.	The leaves duck.
The kitty leaves.	The leaves kitty.
The dad leaves.	The leaves dad.
The cow leaves.	The leaves cow.
The elephant leaves.	The leaves elephant.
The bunny leaves.	The leaves bunny.
The chicken leaves.	The leaves chicken.
The dinosaur leaves.	The leaves dinosaur.
The mouse leaves.	The leaves mouse.
The lady leaves.	The leaves lady.
The monkey leaves.	The leaves monkey.
The caterpillar leaves.	The leaves caterpillar.
The puppy leaves.	The leaves puppy.
The rabbit leaves.	The leaves rabbit.
The lion leaves.	The leaves lion.
The bee leaves.	The leaves bee.
The snake leaves.	The leaves snake.
The sheep leaves.	The leaves sheep.
The tiger leaves.	The leaves tiger.
The turtle leaves.	The leaves turtle.
The monster leaves.	The leaves monster.
The owl leaves.	The leaves owl.
The spider leaves.	The leaves spider.
The zebra leaves.	The leaves zebra.
The kangaroo leaves.	The leaves kangaroo.
The giraffe leaves.	The leaves giraffe.
The dragon leaves.	The leaves dragon.
The turkey leaves.	The leaves turkey.
The donkey leaves.	The leaves donkey.
The uncle leaves.	The leaves uncle.
The woman leaves.	The leaves woman.
The goose leaves.	The leaves goose.
The mom writes.	The writes mom.
The girl writes.	The writes girl.
The person writes.	The writes person.
The cat writes.	The writes cat.
The guy writes.	The writes guy.
The animal writes.	The writes animal.
The horse writes.	The writes horse.
The bird writes.	The writes bird.
The duck writes.	The writes duck.
The kitty writes.	The writes kitty.
The dad writes.	The writes dad.
The cow writes.	The writes cow.
The elephant writes.	The writes elephant.
