The mom sees.	The sees mom.
The bunny writes.	The writes bunny.
The chicken writes.	The writes chicken.
The dinosaur writes.	The writes dinosaur.
The mouse writes.	The writes mouse.
The lady writes.	The writes lady.
The monkey writes.	The writes monkey.
The caterpillar writes.	The writes caterpillar.
The puppy writes.	The writes puppy.
The rabbit writes.	The writes rabbit.
The lion writes.	The writes lion.
The bee writes.	The writes bee.
The snake writes.	The writes snake.
The sheep writes.	The writes sheep.
The tiger writes.	The writes tiger.
The turtle writes.	The writes turtle.
The monster writes.	The writes monster.
The owl writes.	The writes owl.
The spider writes.	The writes spider.
The zebra writes.	The writes zebra.
The kangaroo writes.	The writes kangaroo.
The giraffe writes.	The writes giraffe.
The dragon writes.	The writes dragon.
The turkey writes.	The writes turkey.
The donkey writes.	The writes donkey.
The uncle writes.	The writes uncle.
The woman writes.	The writes woman.
The goose writes.	The writes goose.
The mom thanks.	The thanks mom.
The girl thanks.	The thanks girl.
The person thanks.	The thanks person.
The cat thanks.	The thanks cat.
The guy thanks.	The thanks guy.
The animal thanks.	The thanks animal.
The horse thanks.	The thanks horse.
The bird thanks.	The thanks bird.
The duck thanks.	The thanks duck.
The kitty thanks.	The thanks kitty.
The dad thanks.	The thanks dad.
The cow thanks.	The thanks cow.
The elephant thanks.	The thanks elephant.
The bunny thanks.	The thanks bunny.
The chicken thanks.	The thanks chicken.
The dinosaur thanks.	The thanks dinosaur.
The mouse thanks.	The thanks mouse.
The lady thanks.	The thanks lady.
The monkey thanks.	The thanks monkey.
The caterpillar thanks.	The thanks caterpillar.
The puppy thanks.	The thanks puppy.
The rabbit thanks.	The thanks rabbit.
The lion thanks.	The thanks lion.
The bee thanks.	The thanks bee.
The snake thanks.	The thanks snake.
The sheep thanks.	The thanks sheep.
The tiger thanks.	The thanks tiger.
The turtle thanks.	The thanks turtle.
The monster thanks.	The thanks monster.
The owl thanks.	The thanks owl.
The spider thanks.	The thanks spider.
The zebra thanks.	The thanks zebra.
The kangaroo thanks.	The thanks kangaroo.
The giraffe thanks.	The thanks giraffe.
The dragon thanks.	The thanks dragon.
The turkey thanks.	The thanks turkey.
The donkey thanks.	The thanks donkey.
The uncle thanks.	The thanks uncle.
The woman thanks.	The thanks woman.
The goose thanks.	The thanks goose.
The mom stays.	The stays mom.
The girl stays.	The stays girl.
The person stays.	The stays person.
The cat stays.	The stays cat.
The guy stays.	The stays guy.
The animal stays.	The stays animal.
The horse stays.	The stays horse.
The bird stays.	The stays bird.
The duck stays.	The stays duck.
The kitty stays.	The stays kitty.
The dad stays.	The stays dad.
The cow stays.	The stays cow.
The elephant stays.	The stays elephant.
The bunny stays.	The stays bunny.
The chicken stays.	The stays chicken.
The dinosaur stays.	The stays dinosaur.
The mouse stays.	The stays mouse.
The lady stays.	The stays lady.
The monkey stays.	The stays monkey.
The caterpillar stays.	The stays caterpillar.
The puppy stays.	The stays puppy.
The rabbit stays.	The stays rabbit.
The lion stays.	The stays lion.
The bee stays.	The stays bee.
The snake stays.	The stays snake.
The sheep stays.	The stays sheep.
The tiger stays.	The stays tiger.
The turtle stays.	The stays turtle.
The monster stays.	The stays monster.
The owl stays.	The stays owl.
The spider stays.	The stays spider.
The zebra stays.	The stays zebra.
The kangaroo stays.	The stays kangaroo.
The giraffe stays.	The stays giraffe.
The dragon stays.	The stays dragon.
The turkey stays.	The stays turkey.
The donkey stays.	The stays donkey.
The uncle stays.	The stays uncle.
The woman stays.	The stays woman.
The goose stays.	The stays goose.
The mom starts.	The starts mom.
The girl starts.	The starts girl.
The person starts.	The starts person.
The cat starts.	The starts cat.
The guy starts.	The starts guy.
The animal starts.	The starts animal.
The horse starts.	The starts horse.
The bird starts.	The starts bird.
The duck starts.	The starts duck.
The kitty starts.	The starts kitty.
The dad starts.	The starts dad.
The cow starts.	The starts cow.
The elephant starts.	The starts elephant.
The bunny starts.	The starts bunny.
The chicken starts.	The starts chicken.
The dinosaur starts.	The starts dinosaur.
The mouse starts.	The starts mouse.
The lady starts.	The starts lady.
The monkey starts.	The starts monkey.
The caterpillar starts.	The starts caterpillar.
The puppy starts.	The starts puppy.
The rabbit starts.	The starts rabbit.
The lion starts.	The starts lion.
The bee starts.	The starts bee.
The snake starts.	The starts snake.
The sheep starts.	The starts sheep.
The tiger starts.	The starts tiger.
The turtle starts.	The starts turtle.
The monster starts.	The starts monster.
The owl starts.	The starts owl.
The spider starts.	The starts spider.
The zebra starts.	The starts zebra.
The kangaroo starts.	The starts kangaroo.
The giraffe starts.	The starts giraffe.
The dragon starts.	The starts dragon.
The turkey starts.	The starts turkey.
The donkey starts.	The starts donkey.
The uncle starts.	The starts uncle.
The woman starts.	The starts woman.
The goose starts.	The starts goose.
The mom finishes.	The finishes mom.
The girl finishes.	The finishes girl.
The person finishes.	The finishes person.
The cat finishes.	The finishes cat.
The guy finishes.	The finishes guy.
The animal finishes.	The finishes animal.
The horse finishes.	The finishes horse.
The bird finishes.	The finishes bird.
The duck finishes.	The finishes duck.
The kitty finishes.	The finishes kitty.
The dad finishes.	The finishes dad.
The cow finishes.	The finishes cow.
The elephant finishes.	The finishes elephant.
The bunny finishes.	The finishes bunny.
The chicken finishes.	The finishes chicken.
The dinosaur finishes.	The finishes dinosaur.
The mouse finishes.	The finishes mouse.
The lady finishes.	The finishes lady.
The monkey finishes.	The finishes monkey.
The caterpillar finishes.	The finishes caterpillar.
The puppy finishes.	The finishes puppy.
The rabbit finishes.	The finishes rabbit.
The lion finishes.	The finishes lion.
The bee finishes.	The finishes bee.
The snake finishes.	The finishes snake.
The sheep finishes.	The finishes sheep.
The tiger finishes.	The finishes tiger.
The turtle finishes.	The finishes turtle.
The monster finishes.	The finishes monster.
The owl finishes.	The finishes owl.
The spider finishes.	The finishes spider.
The zebra finishes.	The finishes zebra.
The kangaroo finishes.	The finishes kangaroo.
The giraffe finishes.	The finishes giraffe.
The dragon finishes.	The finishes dragon.
The turkey finishes.	The finishes turkey.
The donkey finishes.	The finishes donkey.
The uncle finishes.	The finishes uncle.
The woman finishes.	The finishes woman.
The goose finishes.	The finishes goose.
The mom moves.	The moves mom.
The girl moves.	The moves girl.
The person moves.	The moves person.
The cat moves.	The moves cat.
The guy moves.	The moves guy.
The animal moves.	The moves animal.
The horse moves.	The moves horse.
The bird moves.	The moves bird.
The duck moves.	The moves duck.
The kitty moves.	The moves kitty.
The dad moves.	The moves dad.
The cow moves.	The moves cow.
The elephant moves.	The moves elephant.
The bunny moves.	The moves bunny.
The chicken moves.	The moves chicken.
The dinosaur moves.	The moves dinosaur.
The mouse moves.	The moves mouse.
The lady moves.	The moves lady.
The monkey moves.	The moves monkey.
The caterpillar moves.	The moves caterpillar.
The puppy moves.	The moves puppy.
The rabbit moves.	The moves rabbit.
The lion moves.	The moves lion.
The bee moves.	The moves bee.
The snake moves.	The moves snake.
The sheep moves.	The moves sheep.
The tiger moves.	The moves tiger.
The turtle moves.	The moves turtle.
The monster moves.	The moves monster.
The owl moves.	The moves owl.
The spider moves.	The moves spider.
The zebra moves.	The moves zebra.
The kangaroo moves.	The moves kangaroo.
The giraffe moves.	The moves giraffe.
The dragon moves.	The moves dragon.
The turkey moves.	The moves turkey.
The donkey moves.	The moves donkey.
The uncle moves.	The moves uncle.
The woman moves.	The moves woman.
The goose moves.	The moves goose.
The mom feels.	The feels mom.
The girl feels.	The feels girl.
The person feels.	The feels person.
The cat feels.	The feels cat.
The guy feels.	The feels guy.
The animal feels.	The feels animal.
The horse feels.	The feels horse.
The bird feels.	The feels bird.
The duck feels.	The feels duck.
The kitty feels.	The feels kitty.
The dad feels.	The feels dad.
The cow feels.	The feels cow.
The elephant feels.	The feels elephant.
The bunny feels.	The feels bunny.
The chicken feels.	The feels chicken.
The dinosaur feels.	The feels dinosaur.
The mouse feels.	The feels mouse.
The lady feels.	The feels lady.
The monkey feels.	The feels monkey.
The caterpillar feels.	The feels caterpillar.
The puppy feels.	The feels puppy.
The rabbit feels.	The feels rabbit.
The lion feels.	The feels lion.
The bee feels.	The feels bee.
The snake feels.	The feels snake.
The sheep feels.	The feels sheep.
The tiger feels.	The feels tiger.
The turtle feels.	The feels turtle.
The monster feels.	The feels monster.
The owl feels.	The feels owl.
The spider feels.	The feels spider.
The zebra feels.	The feels zebra.
The kangaroo feels.	The feels kangaroo.
The giraffe feels.	The feels giraffe.
The dragon feels.	The feels dragon.
The turkey feels.	The feels turkey.
The donkey feels.	The feels donkey.
The uncle feels.	The feels uncle.
The woman feels.	The feels woman.
The goose feels.	The feels goose.
The mom pulls.	The pulls mom.
The girl pulls.	The pulls girl.
The person pulls.	The pulls person.
The cat pulls.	The pulls cat.
The guy pulls.	The pulls guy.
The animal pulls.	The pulls animal.
The horse pulls.	The pulls horse.
The bird pulls.	The pulls bird.
The duck pulls.	The pulls duck.
The kitty pulls.	The pulls kitty.
The dad pulls.	The pulls dad.
The cow pulls.	The pulls cow.
The elephant pulls.	The pulls elephant.
The bunny pulls.	The pulls bunny.
The chicken pulls.	The pulls chicken.
The dinosaur pulls.	The pulls dinosaur.
The mouse pulls.	The pulls mouse.
The lady pulls.	The pulls lady.
The monkey pulls.	The pulls monkey.
The caterpillar pulls.	The pulls caterpillar.
The puppy pulls.	The pulls puppy.
The rabbit pulls.	The pulls rabbit.
The lion pulls.	The pulls lion.
The bee pulls.	The pulls bee.
The snake pulls.	The pulls snake.
The sheep pulls.	The pulls sheep.
The tiger pulls.	The pulls tiger.
The turtle pulls.	The pulls turtle.
The monster pulls.	The pulls monster.
The owl pulls.	The pulls owl.
The spider pulls.	The pulls spider.
The zebra pulls.	The pulls zebra.
The kangaroo pulls.	The pulls kangaroo.
The giraffe pulls.	The pulls giraffe.
The dragon pulls.	The pulls dragon.
The turkey pulls.	The pulls turkey.
The donkey pulls.	The pulls donkey.
The uncle pulls.	The pulls uncle.
The woman pulls.	The pulls woman.
The goose pulls.	The pulls goose.
The mom asks.	The asks mom.
The girl asks.	The asks girl.
The person asks.	The asks person.
The cat asks.	The asks cat.
The guy asks.	The asks guy.
The animal asks.	The asks animal.
The horse asks.	The asks horse.
The bird asks.	The asks bird.
The duck asks.	The asks duck.
The kitty asks.	The asks kitty.
The dad asks.	The asks dad.
The cow asks.	The asks cow.
The elephant asks.	The asks elephant.
The bunny asks.	The asks bunny.
The chicken asks.	The asks chicken.
The dinosaur asks.	The asks dinosaur.
The mouse asks.	The asks mouse.
The lady asks.	The asks lady.
The monkey asks.	The asks monkey.
The caterpillar asks.	The asks caterpillar.
The puppy asks.	The asks puppy.
The rabbit asks.	The asks rabbit.
The lion asks.	The asks lion.
The bee asks.	The asks bee.
The snake asks.	The asks snake.
The sheep asks.	The asks sheep.
The tiger asks.	The asks tiger.
The turtle asks.	The asks turtle.
The monster asks.	The asks monster.
The owl asks.	The asks owl.
The spider asks.	The asks spider.
The zebra asks.	The asks zebra.
The kangaroo asks.	The asks kangaroo.
The giraffe asks.	The asks giraffe.
The dragon asks.	The asks dragon.
The turkey asks.	The asks turkey.
The donkey asks.	The asks donkey.
The uncle asks.	The asks uncle.
The woman asks.	The asks woman.
The goose asks.	The asks goose.
The mom stands.	The stands mom.
The girl stands.	The stands girl.
The person stands.	The stands person.
The cat stands.	The stands cat.
The guy stands.	The stands guy.
The animal stands.	The stands animal.
The horse stands.	The stands horse.
The bird stands.	The stands bird.
The duck stands.	The stands duck.
The kitty stands.	The stands kitty.
The dad stands.	The stands dad.
The cow stands.	The stands cow.
The elephant stands.	The stands elephant.
The bunny stands.	The stands bunny.
The chicken stands.	The stands chicken.
The dinosaur stands.	The stands dinosaur.
The mouse stands.	The stands mouse.
The lady stands.	The stands lady.
The monkey stands.	The stands monkey.
The caterpillar stands.	The stands caterpillar.
The puppy stands.	The stands puppy.
The rabbit stands.	The stands rabbit.
The lion stands.	The stands lion.
The bee stands.	The stands bee.
The snake stands.	The stands snake.
The sheep stands.	The stands sheep.
The tiger stands.	The stands tiger.
The turtle stands.	The stands turtle.
The monster stands.	The stands monster.
The owl stands.	The stands owl.
The spider stands.	The stands spider.
The zebra stands.	The stands zebra.
The kangaroo stands.	The stands kangaroo.
The giraffe stands.	The stands giraffe.
The dragon stands.	The stands dragon.
The turkey stands.	The stands turkey.
The donkey stands.	The stands donkey.
The uncle stands.	The stands uncle.
The woman stands.	The stands woman.
The goose stands.	The stands goose.
The mom sings.	The sings mom.
The girl sings.	The sings girl.
The person sings.	The sings person.
The cat sings.	The sings cat.
The guy sings.	The sings guy.
The animal sings.	The sings animal.
The horse sings.	The sings horse.
The bird sings.	The sings bird.
The duck sings.	The sings duck.
The kitty sings.	The sings kitty.
The dad sings.	The sings dad.
The cow sings.	The sings cow.
The elephant sings.	The sings elephant.
The bunny sings.	The sings bunny.
The chicken sings.	The sings chicken.
The dinosaur sings.	The sings dinosaur.
The mouse sings.	The sings mouse.
The lady sings.	The sings lady.
The monkey sings.	The sings monkey.
The caterpillar sings.	The sings caterpillar.
The puppy sings.	The sings puppy.
The rabbit sings.	The sings rabbit.
The lion sings.	The sings lion.
The bee sings.	The sings bee.
The snake sings.	The sings snake.
The sheep sings.	The sings sheep.
The tiger sings.	The sings tiger.
The turtle sings.	The sings turtle.
The monster sings.	The sings monster.
The owl sings.	The sings owl.
The spider sings.	The sings spider.
The zebra sings.	The sings zebra.
The kangaroo sings.	The sings kangaroo.
The giraffe sings.	The sings giraffe.
The dragon sings.	The sings dragon.
The turkey sings.	The sings turkey.
The donkey sings.	The sings donkey.
The uncle sings.	The sings uncle.
The woman sings.	The sings woman.
The goose sings.	The sings goose.
The mom draws.	The draws mom.
The girl draws.	The draws girl.
The person draws.	The draws person.
The cat draws.	The draws cat.
The guy draws.	The draws guy.
The animal draws.	The draws animal.
The horse draws.	The draws horse.
The bird draws.	The draws bird.
The duck draws.	The draws duck.
The kitty draws.	The draws kitty.
The dad draws.	The draws dad.
The cow draws.	The draws cow.
The elephant draws.	The draws elephant.
The bunny draws.	The draws bunny.
The chicken draws.	The draws chicken.
The dinosaur draws.	The draws dinosaur.
The mouse draws.	The draws mouse.
The lady draws.	The draws lady.
The monkey draws.	The draws monkey.
The caterpillar draws.	The draws caterpillar.
The puppy draws.	The draws puppy.
The rabbit draws.	The draws rabbit.
The lion draws.	The draws lion.
The bee draws.	The draws bee.
The snake draws.	The draws snake.
The sheep draws.	The draws sheep.
The tiger draws.	The draws tiger.
The turtle draws.	The draws turtle.
The monster draws.	The draws monster.
The owl draws.	The draws owl.
The spider draws.	The draws spider.
The zebra draws.	The draws zebra.
The kangaroo draws.	The draws kangaroo.
The giraffe draws.	The draws giraffe.
The dragon draws.	The draws dragon.
The turkey draws.	The draws turkey.
The donkey draws.	The draws donkey.
The uncle draws.	The draws uncle.
The woman draws.	The draws woman.
The goose draws.	The draws goose.
The mom touches.	The touches mom.
The girl touches.	The touches girl.
The person touches.	The touches person.
The cat touches.	The touches cat.
The guy touches.	The touches guy.
The animal touches.	The touches animal.
The horse touches.	The touches horse.
The bird touches.	The touches bird.
The duck touches.	The touches duck.
The kitty touches.	The touches kitty.
The dad touches.	The touches dad.
The cow touches.	The touches cow.
The elephant touches.	The touches elephant.
The bunny touches.	The touches bunny.
The chicken touches.	The touches chicken.
The dinosaur touches.	The touches dinosaur.
The mouse touches.	The touches mouse.
The lady touches.	The touches lady.
The monkey touches.	The touches monkey.
The caterpillar touches.	The touches caterpillar.
The puppy touches.	The touches puppy.
The rabbit touches.	The touches rabbit.
The lion touches.	The touches lion.
The bee touches.	The touches bee.
The snake touches.	The touches snake.
The sheep touches.	The touches sheep.
The tiger touches.	The touches tiger.
The turtle touches.	The touches turtle.
The monster touches.	The touches monster.
The owl touches.	The touches owl.
The spider touches.	The touches spider.
The zebra touches.	The touches zebra.
The kangaroo touches.	The touches kangaroo.
The giraffe touches.	The touches giraffe.
The dragon touches.	The touches dragon.
The turkey touches.	The touches turkey.
The donkey touches.	The touches donkey.
The uncle touches.	The touches uncle.
The woman touches.	The touches woman.
The goose touches.	The touches goose.
The mom listens.	The listens mom.
The girl listens.	The listens girl.
The person listens.	The listens person.
The cat listens.	The listens cat.
The guy listens.	The listens guy.
The animal listens.	The listens animal.
The horse listens.	The listens horse.
The bird listens.	The listens bird.
The duck listens.	The listens duck.
The kitty listens.	The listens kitty.
The dad listens.	The listens dad.
The cow listens.	The listens cow.
The elephant listens.	The listens elephant.
The bunny listens.	The listens bunny.
The chicken listens.	The listens chicken.
The dinosaur listens.	The listens dinosaur.
The mouse listens.	The listens mouse.
The lady listens.	The listens lady.
The monkey listens.	The listens monkey.
The caterpillar listens.	The listens caterpillar.
The puppy listens.	The listens puppy.
The rabbit listens.	The listens rabbit.
The lion listens.	The listens lion.
The bee listens.	The listens bee.
The snake listens.	The listens snake.
The sheep listens.	The listens sheep.
The tiger listens.	The listens tiger.
The turtle listens.	The listens turtle.
The monster listens.	The listens monster.
The owl listens.	The listens owl.
The spider listens.	The listens spider.
The zebra listens.	The listens zebra.
The kangaroo listens.	The listens kangaroo.
The giraffe listens.	The listens giraffe.
The dragon listens.	The listens dragon.
The turkey listens.	The listens turkey.
The donkey listens.	The listens donkey.
The uncle listens.	The listens uncle.
The woman listens.	The listens woman.
The goose listens.	The listens goose.
The mom loses.	The loses mom.
The girl loses.	The loses girl.
The person loses.	The loses person.
The cat loses.	The loses cat.
The guy loses.	The loses guy.
The animal loses.	The loses animal.
The horse loses.	The loses horse.
The bird loses.	The loses bird.
The duck loses.	The loses duck.
The kitty loses.	The loses kitty.
The dad loses.	The loses dad.
The cow loses.	The loses cow.
The elephant loses.	The loses elephant.
The bunny loses.	The loses bunny.
The chicken loses.	The loses chicken.
The dinosaur loses.	The loses dinosaur.
The mouse loses.	The loses mouse.
The lady loses.	The loses lady.
The monkey loses.	The loses monkey.
The caterpillar loses.	The loses caterpillar.
The puppy loses.	The loses puppy.
The rabbit loses.	The loses rabbit.
The lion loses.	The loses lion.
The bee loses.	The loses bee.
The snake loses.	The loses snake.
The sheep loses.	The loses sheep.
The tiger loses.	The loses tiger.
The turtle loses.	The loses turtle.
The monster loses.	The loses monster.
The owl loses.	The loses owl.
The spider loses.	The loses spider.
The zebra loses.	The loses zebra.
The kangaroo loses.	The loses kangaroo.
The giraffe loses.	The loses giraffe.
The dragon loses.	The loses dragon.
The turkey loses.	The loses turkey.
The donkey loses.	The loses donkey.
The uncle loses.	The loses uncle.
The woman loses.	The loses woman.
The goose loses.	The loses goose.
The mom climbs.	The climbs mom.
The girl climbs.	The climbs girl.
The person climbs.	The climbs person.
The cat climbs.	The climbs cat.
The guy climbs.	The climbs guy.
The animal climbs.	The climbs animal.
The horse climbs.	The climbs horse.
The bird climbs.	The climbs bird.
The duck climbs.	The climbs duck.
The kitty climbs.	The climbs kitty.
The dad climbs.	The climbs dad.
The cow climbs.	The climbs cow.
The elephant climbs.	The climbs elephant.
The bunny climbs.	The climbs bunny.
The chicken climbs.	The climbs chicken.
The dinosaur climbs.	The climbs dinosaur.
The mouse climbs.	The climbs mouse.
The lady climbs.	The climbs lady.
The monkey climbs.	The climbs monkey.
The caterpillar climbs.	The climbs caterpillar.
The puppy climbs.	The climbs puppy.
The rabbit climbs.	The climbs rabbit.
The lion climbs.	The climbs lion.
The bee climbs.	The climbs bee.
The snake climbs.	The climbs snake.
The sheep climbs.	The climbs sheep.
The tiger climbs.	The climbs tiger.
The turtle climbs.	The climbs turtle.
The monster climbs.	The climbs monster.
The owl climbs.	The climbs owl.
The spider climbs.	The climbs spider.
The zebra climbs.	The climbs zebra.
The kangaroo climbs.	The climbs kangaroo.
The giraffe climbs.	The climbs giraffe.
The dragon climbs.	The climbs dragon.
The turkey climbs.	The climbs turkey.
The donkey climbs.	The climbs donkey.
The uncle climbs.	The climbs uncle.
The woman climbs.	The climbs woman.
The goose climbs.	The climbs goose.
The mom spells.	The spells mom.
The girl spells.	The spells girl.
The person spells.	The spells person.
The cat spells.	The spells cat.
The guy spells.	The spells guy.
The animal spells.	The spells animal.
The horse spells.	The spells horse.
The bird spells.	The spells bird.
The duck spells.	The spells duck.
The kitty spells.	The spells kitty.
The dad spells.	The spells dad.
The cow spells.	The spells cow.
The elephant spells.	The spells elephant.
The bunny spells.	The spells bunny.
The chicken spells.	The spells chicken.
The dinosaur spells.	The spells dinosaur.
The mouse spells.	The spells mouse.
The lady spells.	The spells lady.
The monkey spells.	The spells monkey.
The caterpillar spells.	The spells caterpillar.
The puppy spells.	The spells puppy.
The rabbit spells.	The spells rabbit.
The lion spells.	The spells lion.
The bee spells.	The spells bee.
The snake spells.	The spells snake.
The sheep spells.	The spells sheep.
The tiger spells.	The spells tiger.
The turtle spells.	The spells turtle.
The monster spells.	The spells monster.
The owl spells.	The spells owl.
The spider spells.	The spells spider.
The zebra spells.	The spells zebra.
The kangaroo spells.	The spells kangaroo.
The giraffe spells.	The spells giraffe.
The dragon spells.	The spells dragon.
The turkey spells.	The spells turkey.
The donkey spells.	The spells donkey.
The uncle spells.	The spells uncle.
The woman spells.	The spells woman.
The goose spells.	The spells goose.
The mom chews.	The chews mom.
The girl chews.	The chews girl.
The person chews.	The chews person.
The cat chews.	The chews cat.
The guy chews.	The chews guy.
The animal chews.	The chews animal.
The horse chews.	The chews horse.
The bird chews.	The chews bird.
The duck chews.	The chews duck.
The kitty chews.	The chews kitty.
The dad chews.	The chews dad.
The cow chews.	The chews cow.
The elephant chews.	The chews elephant.
The bunny chews.	The chews bunny.
The chicken chews.	The chews chicken.
The dinosaur chews.	The chews dinosaur.
The mouse chews.	The chews mouse.
The lady chews.	The chews lady.
The monkey chews.	The chews monkey.
The caterpillar chews.	The chews caterpillar.
The puppy chews.	The chews puppy.
The rabbit chews.	The chews rabbit.
The lion chews.	The chews lion.
The bee chews.	The chews bee.
The snake chews.	The chews snake.
The sheep chews.	The chews sheep.
The tiger chews.	The chews tiger.
The turtle chews.	The chews turtle.
The monster chews.	The chews monster.
The owl chews.	The chews owl.
The spider chews.	The chews spider.
The zebra chews.	The chews zebra.
The kangaroo chews.	The chews kangaroo.
The giraffe chews.	The chews giraffe.
The dragon chews.	The chews dragon.
The turkey chews.	The chews turkey.
The donkey chews.	The chews donkey.
The uncle chews.	The chews uncle.
The woman chews.	The chews woman.
The goose chews.	The chews goose.
The mom learns.	The learns mom.
The girl learns.	The learns girl.
The person learns.	The learns person.
The cat learns.	The learns cat.
The guy learns.	The learns guy.
The animal learns.	The learns animal.
The horse learns.	The learns horse.
The bird learns.	The learns bird.
The duck learns.	The learns duck.
The kitty learns.	The learns kitty.
The dad learns.	The learns dad.
The cow learns.	The learns cow.
The elephant learns.	The learns elephant.
The bunny learns.	The learns bunny.
The chicken learns.	The learns chicken.
The dinosaur learns.	The learns dinosaur.
The mouse learns.	The learns mouse.
The lady learns.	The learns lady.
The monkey learns.	The learns monkey.
The caterpillar learns.	The learns caterpillar.
The puppy learns.	The learns puppy.
The rabbit learns.	The learns rabbit.
The lion learns.	The learns lion.
The bee learns.	The learns bee.
The snake learns.	The learns snake.
The sheep learns.	The learns sheep.
The tiger learns.	The learns tiger.
The turtle learns.	The learns turtle.
The monster learns.	The learns monster.
The owl learns.	The learns owl.
The spider learns.	The learns spider.
The zebra learns.	The learns zebra.
The kangaroo learns.	The learns kangaroo.
The giraffe learns.	The learns giraffe.
The dragon learns.	The learns dragon.
The turkey learns.	The learns turkey.
The donkey learns.	The learns donkey.
The uncle learns.	The learns uncle.
The woman learns.	The learns woman.
The goose learns.	The learns goose.
The mom wipes.	The wipes mom.
The girl wipes.	The wipes girl.
The person wipes.	The wipes person.
The cat wipes.	The wipes cat.
The guy wipes.	The wipes guy.
The animal wipes.	The wipes animal.
The horse wipes.	The wipes horse.
The bird wipes.	The wipes bird.
The duck wipes.	The wipes duck.
The kitty wipes.	The wipes kitty.
The dad wipes.	The wipes dad.
The cow wipes.	The wipes cow.
The elephant wipes.	The wipes elephant.
The bunny wipes.	The wipes bunny.
The chicken wipes.	The wipes chicken.
The dinosaur wipes.	The wipes dinosaur.
The mouse wipes.	The wipes mouse.
The lady wipes.	The wipes lady.
The monkey wipes.	The wipes monkey.
The caterpillar wipes.	The wipes caterpillar.
The puppy wipes.	The wipes puppy.
The rabbit wipes.	The wipes rabbit.
The lion wipes.	The wipes lion.
The bee wipes.	The wipes bee.
The snake wipes.	The wipes snake.
The sheep wipes.	The wipes sheep.
The tiger wipes.	The wipes tiger.
The turtle wipes.	The wipes turtle.
The monster wipes.	The wipes monster.
The owl wipes.	The wipes owl.
The spider wipes.	The wipes spider.
The zebra wipes.	The wipes zebra.
The kangaroo wipes.	The wipes kangaroo.
The giraffe wipes.	The wipes giraffe.
The dragon wipes.	The wipes dragon.
The turkey wipes.	The wipes turkey.
The donkey wipes.	The wipes donkey.
The uncle wipes.	The wipes uncle.
The woman wipes.	The wipes woman.
The goose wipes.	The wipes goose.
